Server_ID,Hostname,IP_Address,OS_Type,Server_Location,CPU_Utilization (%),Memory_Usage (%),Disk_IO (%),Network_Traffic_In (MB/s),Network_Traffic_Out (MB/s),Uptime (Hours),Downtime (Hours),Admin_Name,Admin_Email,Admin_Phone,Log_Timestamp,Instance_Size,Total_Network_Traffic (MB/s)
536c9e75-40a1-4a74-8ca6-c6abaec13999,srv-web02,gAAAAABptDwzPFSg2WwFfCCCn9FxJ6O2m35UM1lPFVNAsJym6OtEeb46I0IP113wZNNhpqqxrkDbM8b53ctcHvawWJuUA0hceA==,Windows Server 2022,"Berlin, Germany",28.1,88.6,28.36,31.13,52.54,18.49,5.51,gAAAAABptDwzY4K3pE-qWN5-vnJkNQhwjgIYTEux8GrwSRJdkBDRDlJdWDvf3r7hG4xnfn1piHuhxJpkfPsDFkgyN0AkeaG2eQ==,gAAAAABptDwzL8PlctF6-ow-WQCXB__9DAxfTX_3EmPbpTGhtgmrrdaUcl3rmbanFBogLEOZgg-idIPPniO72ioXv_HwTyll2wm6z-JvbNdy-LOIESGkLD8=,gAAAAABptDwzD1TD9QTmoXgvkeeHE-te2pyyudf1EJGFyddMyVYbe1LhS3shDyh8-X7JnodfIyTd7wS_jfSpzHposEyt6c4evg==,2025-11-03 16:45:00,Large,83.67
26bae71d-c025-4082-9484-ef7aa9e04836,srv-web02,gAAAAABptDwzsVY2sdja7jFHV2jPCf_EDwyMvKY4LDmumlRjrdIlt9UA0zGtzNPbVJxAEwdPhDiDWGi2vsQTAbyEWpZcfunkgw==,Ubuntu 20.04,"London, UK",49.72,84.35,73.89,123.34,97.1,19.71,4.29,gAAAAABptDwzx2p4v-k8IyRlldWI5gWcFncRp5989aTwOhasWzXReSAbICSrNUw4gVbN9fKPCc_WQxFv5blLNV_Y9bNWAKbKZ9S-F9vUzXrYHPmMBcwhvV4=,gAAAAABptDwzyH65r5RB3SfD3hd14rh-sBfEUvgZVPRuD64eemd5m6JbqpVegvBbIJdgZyqSj45fkJS1wqfe1Kc4sRTAppZqLRKr0symOm98Rk_psUbfUKE=,gAAAAABptDwz6EBrfP-bV5xkqg51WvnH9Ulk2_FoBFvJZ7iZm8_gTTqOxswh54AUvCqKK2-b8eDfjCVO1hOTyI4NcQPi6QHFZg==,2025-01-25 10:59:00,Large,220.44
454de38a-5961-490f-9d46-d20663a36baf,srv-backup02,gAAAAABptDwz3OFTxl-vjHBRXhu9nNvgq-U0m7lVx4LzmXDSZecDCGdhsVHRprbi007seT0ZaC4K9rWfBjXC27hsTPDphOB8vQ==,Red Hat Enterprise Linux,"New York, USA",44.72,57.64,14.94,69.6,112.81,18.64,5.36,gAAAAABptDwz447LUvlsC3PT-Tt4MrWSeg76WhBy6tkA_v-sxRxaxVL92VmpXAgq31nfIRLNrlulNuKEdyxpIJyrIAsERA6UvA==,gAAAAABptDwzFFvmvqkO1JeCMCuR_k_LcEwoGSph7sV8Trky2zJ7Kynf_vVU16wC_YZMmHKJNf4oWaLXmZlW7isJosZWob62fq812C4GR1BOxwLyGM9hkz0=,gAAAAABptDwzElZDD1ZjGRhuznh84IEsCCB430Ii4ceU8UQDSgB1kwk0KkvrOtjLcHmkcFl2ioG2ykjpfINoOZVPI7TpevDuyA==,2025-01-29 08:31:00,Medium,182.41
8b8a3f40-1b67-4fe6-a65e-93fd07f317f7,srv-web02,gAAAAABptDwzWrgDw79PbVd7yjLeXf-cPySI7BFR1ZbDH-pAo2DWIgICIWQkzsUJ49WfTjisQyUzIlP6QgTdst-etbChnmeBuA==,Red Hat Enterprise Linux,"New York, USA",37.69,97.97,71.46,62.97,148.51,18.14,5.86,gAAAAABptDwz_ioaq5fGqdkKHEjgNYPVRcI5AGrUCiRZPwRcRJHCIeOiMMfXkWsYGypW6Zo93UCuCEQmR2TQzvDLXNAyKwxeq-hMWeFzgDML4DBCL4OjpvA=,gAAAAABptDwzIyfHlI5Q8o1OS8uVXFfByDvEAP3E06dl4vYxsOPLnDO40Auxi-U_pfJd_3Pq_4zuWwUBKQS-GnYKBOcQJ-tP8t_xr7A79le4vq29DYFdyco=,gAAAAABptDwzbFP-W53q58_yzu3u5I8gLOwftxFSH-nVMbUe_V1aje8Vwu-QT7ZnXyPU_ydO_riRJmS4-LJJMACSFAdIoRS30A==,2025-01-03 16:49:00,Large,211.48
375cb3db-89d3-4705-af4a-8f829cce1928,srv-app02,gAAAAABptDwzozQou8A0U6aghrImZPqHZLLHKYcCxJ38ccKaI69uSrHdPyIcmBDkSqKGum_G_wvvqfw_HRIIdR4faTFXn9f_gg==,Windows Server 2022,"Tokyo, Japan",63.97,67.31,96.46,45.33,131.5,22.78,1.22,gAAAAABptDwzsIApADJ0mv3VtLwF2t_F4KOkJiCsHE4Fy_dE6zQ1OlyfnHOfZd1VSC4KfUJHLnYE1ijvzkQPhzBTcercJvGS6Q==,gAAAAABptDwzgFxQcVcVqSENINqPphyvTwG-XZM3whCCHrJvXrtW5y3wW_9mtoFNeD4IYUB0zs1d_RxIN-yY2qDT6h_0X7SlEsN89nVreeCDPeke8zKBcyk=,gAAAAABptDwzaYmLRKwc5NeItKaHGlfMqZyZhr78n1B01o4OntUDue0SPwJOCzIo2RBd6eQ3i4WI7VnRvAg0eMfUm_HYsMrJ-w==,2025-02-21 11:02:00,Medium,176.82999999999998
9a90becd-5be4-4d03-b1fa-1ffa70cb11f5,srv-app02,gAAAAABptDwzLflsVXuGuSPJrOi_DdBORnuBg7cPdp_shQJOBrXnlm9NTCA9UJqaqJHw1s_UBLA_SQxmoRWvNVe3qx8ktPnWPA==,Ubuntu 20.04,"Tokyo, Japan",20.29,24.65,66.56,60.59,133.97,18.68,5.32,gAAAAABptDwzO5CCV37GAZ1GIUwfdOfrE4vsqFuKPfG48HrwAfZEjtS98tHxea6D9Isyv11_phWMLLGztdyUyUnlFf5zHwy1ag==,gAAAAABptDwzMFmU5heDuZdX62DbwDkmEJX6EqdRSjJneR7CnCaqC2hPs-4kVocTC0Cm039kETfQUR3xjOCSGHZ6KuLL7eWu3TuQkcAGdWp_SAQHXeJzf-w=,gAAAAABptDwzBzrHtcIpk6F5wi0veASGXGNUe57pMwCcsTwQ59viePYAx6CgCep2mnPzzrtrp4OGEQNljK25OgruDcXOZzEtBQ==,2025-02-13 19:44:00,Small,194.56
c2ba6509-caa4-4720-8633-cb7565e9947c,srv-app03,gAAAAABptDwz8Ddj4JUwGkee_0ICqCJQXYF96nCP1w7hUySAymNF33sd8rRueHx8gUJ6ad3zd9o4k0ii9QIRMqooRzvjOUuZQg==,Ubuntu 20.04,"Sydney, Australia",36.45,59.28,18.46,47.7,86.57,22.38,1.62,gAAAAABptDwzOf7zQEMaNTFksx6IR4uH21o4nAkXBOR-arruWkt_LPVFZfk50qv84TrVJUpnk5k7LFEmFVW0cziRsGcOEfVbnA==,gAAAAABptDwzlYoz_VgYiasiA8YywYf9C1a5I6Rf4U4NB80zUa9-6DHogyUu8VZmpbjC0WzsxAEhq5xs2iKjnlxi8UHDEDTxdXPES4p94Cteg5eJBxzc92Q=,gAAAAABptDwzkz3tzEvqWUuT9_a1G3d9QaXNq2OR6OEjYsZ82ABkSgxU8Ovq6yAhUxs239YKW3Bw68p0h_LW-s2IsMSEMt72Fw==,2025-09-03 14:58:00,Medium,134.26999999999998
8e52d19d-1e84-466e-8e25-d24ae27434ab,srv-web01,gAAAAABptDwzah6vgLUeOABAjna5TFFXzoPA-2h9G6Uu0IyO4WkVAXZhKiEyTQAQtSfJA8v2Oa80DFfc1nUOY4hKS_Cjk8Wlzw==,Ubuntu 20.04,"Tokyo, Japan",12.62,86.98,18.54,102.76,11.03,20.3,3.7,gAAAAABptDwzG2ri6pNp5zDE_9fXqZZGl-uMARn-ouFRY96Jr6xYQJP5ONxebPixLyt01WnKxe-xG9Bbctq9ny41j1Hn_irxqA==,gAAAAABptDwzz4iPqsAdHKhJ_8eRlcbOCkd8eu_EkV-8wDd9Lfo2EFIoo0edlVFwi6BajZqxUwCQkyHmCLPTMs3HngQ4wBvF23vq4A1FBf0JBAbFQuyQx04=,gAAAAABptDwzYCvWKpq_L5rtbvvLf8Wwe07x_YOGCCb9ZF2GiZYT0GD-QyaY1fX9sULGgpM4o7jYSb_N9OXfdrJ2a30F-Rw5uw==,2025-06-03 10:06:00,Large,113.79
95de17b4-60ec-4ea0-a79c-7faecdb85275,srv-app03,gAAAAABptDwzIl362g0sJFBY1g8eQ5Za3bL8DVnukSOG0WgtRqm-yby95ve6-WgfiUFHbdAgbqeyH43XjfVnFjMp6CMh_0Q3YA==,CentOS 8,"Sydney, Australia",75.49,73.48,93.03,29.02,22.0,20.49,3.51,gAAAAABptDwz5ucOjqKfg4bYu3Y-0aVLMmh4Ifd4iXAW0vXf1Eko0JuUC7JE80wWMZnbBRsTcpfBzN08OLTOqFCe28oKW6tx5DXsVaA-qhexug637kv72bI=,gAAAAABptDwztSmVFxMl9Y3VdNsC5hASbIby8BdovLcFtWYDILHNn_eQvWYPr-b7xbHtaIi2K-QJIMWg1txu02tcaElb8LGfiYL0ni9cuabWaOJEa-9vnQc=,gAAAAABptDwzqhgwnQHFu7otwvAslqL9tiVyw-eOMNxtcnLnOYxJkQUysAwsIAOpFLWuPkd4N46Peo5751n9JgGlMOYLAHCBLQ==,2025-02-24 14:29:00,Large,51.019999999999996
4aa1fa83-c575-4d81-a1c7-f1ed5395a0f6,srv-analytics01,gAAAAABptDwzJpZ08GWMBQS0jzINWJ5TWvjfDFWPW4BgksdxStnhTIBq3cSaSZeUDTGO5j5MkOvERT8ip9qxzKMj0JCJhRdmvA==,CentOS 8,"Tokyo, Japan",88.3,24.14,25.99,67.86,120.95,20.19,3.81,gAAAAABptDwztOaxhYy4tIgBmBGGJBQH_MYqy2ELEcSJc1OxZ6jXWZ4ZUqyPrcreKZbUWUAjfjNZse7TrKLtbN5UsPNfILUDefSTd36M8d5d3zIruDG_z-o=,gAAAAABptDwznOq7nGmfiLmQ1maCG6GW0PJyXWqqSfIfAIHoQMWw8A9XXNd2X_T-B-uRgTjUGrjFHyTqy7N4Qc6dJXByLndWw4Ebdjw7XXt1gaJGcNeHTHM=,gAAAAABptDwzLBSljFhpomcakDC9MAQfn65epx59StN26jHJVYChgRUZgllV2HLNdlReXFLjeLM0kG9XGb4_LsrvXQtX4LT-rg==,2025-02-20 18:41:00,Small,188.81
